date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-15 20:00:00,8473,11618,75250,66913.25,13210
2019-01-15 21:00:00,7887,10988.75,71100,63822.5,12547.75
2019-01-15 22:00:00,7696,11038.25,69200,60955.25,11867.25
2019-01-15 23:00:00,7198,10912.5,72050,56820.75,11172
2019-01-16 00:00:00,6717,10252.5,68850,54295,10723.25
2019-01-16 01:00:00,6474,9769.25,65700,52450,10323.25
2019-01-16 02:00:00,6370,9395.5,64800,51529.25,10015.5
2019-01-16 03:00:00,6263,9201.75,61700,51855.5,9887
2019-01-16 04:00:00,6431,9288.5,60500,53229.25,9933
2019-01-16 05:00:00,7105,9770.25,62300,55999.75,10494.25
2019-01-16 06:00:00,8219,10905,67100,62797,11707
2019-01-16 07:00:00,9182,11912.25,74200,68251,13449
2019-01-16 08:00:00,9479,12285,78200,70671,15053
2019-01-16 09:00:00,9534,12386.25,78150,71279.5,15936.25
2019-01-16 10:00:00,9577,12305.75,77400,71715,16208.25
2019-01-16 11:00:00,9578,12231.75,76750,72820.75,16110
2019-01-16 12:00:00,9409,11947.75,75950,72142,15885.25
2019-01-16 13:00:00,9351,11867.75,75000,72050.5,15912.5
2019-01-16 14:00:00,9284,11687.5,72700,71264.25,16013
2019-01-16 15:00:00,9301,11768,70850,70714.5,16182.5
2019-01-16 16:00:00,9504,11892,69850,70750.25,16551.5
2019-01-16 17:00:00,9718,12617.25,71200,72595.5,17475.5
2019-01-16 18:00:00,9538,12727,76350,72635.5,16569.25
2019-01-16 19:00:00,9039,12272.25,78150,70630.25,15781.75
2019-01-16 20:00:00,8473,11765.25,74250,66900.5,15267.25
2019-01-16 21:00:00,7887,11195.5,70000,63887.25,14690.25
2019-01-16 22:00:00,7696,11180,68350,61110,13835.75
2019-01-16 23:00:00,7198,11087.75,71100,57050.75,13089.25
2019-01-17 00:00:00,6759,10378.5,68700,54529,12599.75
2019-01-17 01:00:00,6513,9881,65450,52640,12256
2019-01-17 02:00:00,6404,9514.25,64250,51731.5,11909.75
2019-01-17 03:00:00,6291,9300.25,61850,51894.75,11811
2019-01-17 04:00:00,6459,9357.25,60300,52976.25,11914.75
2019-01-17 05:00:00,7131,9752,62200,55841.5,12431.75
2019-01-17 06:00:00,8244,10839.5,67250,62585,13742
2019-01-17 07:00:00,9220,11875.5,74850,68521.25,15766.25
